folder_name,space_m,node_count,optimizer,runs,ft5_mean,ft5_std,residual_energy_pct_mean,residual_energy_pct_std,runtime_sec_mean,runtime_sec_std
11_energy_focused_k0p2_p30_it50_w0p5_a0p75_b0p15_g0p1,100,20,de,45,745.2888888888889,131.84385086192304,48.87174666666667,9.047987648457328,13.79898888888889,4.448462546830709
11_energy_focused_k0p2_p30_it50_w0p5_a0p75_b0p15_g0p1,100,20,ga,45,763.1333333333333,115.99874607472744,47.64786444444444,7.960075612796297,11.044944444444445,1.5681508669819249
11_energy_focused_k0p2_p30_it50_w0p5_a0p75_b0p15_g0p1,100,20,pso,45,752.3333333333334,116.96464112169659,48.38789555555556,8.027165820680862,9.795995555555555,5.572154445909652
11_energy_focused_k0p2_p30_it50_w0p5_a0p75_b0p15_g0p1,100,50,de,45,789.8444444444444,103.03352401382315,43.08991777777778,7.370130633241205,37.18671333333334,10.245267343501496
11_energy_focused_k0p2_p30_it50_w0p5_a0p75_b0p15_g0p1,100,50,ga,45,807.8,92.660573159148,41.763062222222224,6.721181734476358,17.760002222222223,2.146842562979927
11_energy_focused_k0p2_p30_it50_w0p5_a0p75_b0p15_g0p1,100,50,pso,45,794.1333333333333,109.25919973747165,42.78833111111111,7.849266698170607,25.53076666666667,13.371016862109554
11_energy_focused_k0p2_p30_it50_w0p5_a0p75_b0p15_g0p1,100,100,de,45,796.2666666666667,116.42758186178143,39.48988222222222,8.844441659860545,104.60785555555556,20.982001091980937
11_energy_focused_k0p2_p30_it50_w0p5_a0p75_b0p15_g0p1,100,100,ga,45,806.9555555555555,116.62896793514103,38.67247333333333,8.864502595680042,29.829824444444448,5.582815260819076
11_energy_focused_k0p2_p30_it50_w0p5_a0p75_b0p15_g0p1,100,100,pso,45,802.1777777777778,93.81080788889777,39.05936,7.155074196788278,53.27187333333333,20.390687264593485
11_energy_focused_k0p2_p30_it50_w0p5_a0p75_b0p15_g0p1,100,150,de,45,799.7111111111111,92.28257548082269,36.62112888888889,7.35237842345227,160.18436,39.482926252152446
11_energy_focused_k0p2_p30_it50_w0p5_a0p75_b0p15_g0p1,100,150,ga,45,801.4666666666667,93.74423618645477,36.47227111111111,7.488115060687904,41.43494888888889,10.419296024850462
11_energy_focused_k0p2_p30_it50_w0p5_a0p75_b0p15_g0p1,100,150,pso,45,806.0444444444445,90.02347056476579,36.15503555555556,7.191238106168933,88.52078,33.34694911384903
11_energy_focused_k0p2_p30_it50_w0p5_a0p75_b0p15_g0p1,500,100,de,45,706.9555555555555,103.93725282713858,48.62064222222222,5.5896328674158005,57.06566444444445,18.314594248789625
11_energy_focused_k0p2_p30_it50_w0p5_a0p75_b0p15_g0p1,500,100,ga,45,706.7777777777778,117.08289388464925,48.31469111111111,6.352240220756132,30.07108,7.054646567740109
11_energy_focused_k0p2_p30_it50_w0p5_a0p75_b0p15_g0p1,500,100,pso,45,705.1111111111111,91.8126110921346,48.49097555555555,4.945216315755678,48.472502222222225,21.957785366983046
11_energy_focused_k0p2_p30_it50_w0p5_a0p75_b0p15_g0p1,500,200,de,45,578.7777777777778,61.44505634707283,50.82145555555555,4.732064890316023,134.88034666666667,57.78477219085019
11_energy_focused_k0p2_p30_it50_w0p5_a0p75_b0p15_g0p1,500,200,ga,45,576.3111111111111,67.15444283082988,50.73382,4.813161403693005,67.13277333333333,18.474585741676194
11_energy_focused_k0p2_p30_it50_w0p5_a0p75_b0p15_g0p1,500,200,pso,45,575.7777777777778,51.85157527583767,50.80227555555556,4.029592432873416,143.1651,65.23308631877832
11_energy_focused_k0p2_p30_it50_w0p5_a0p75_b0p15_g0p1,500,300,de,45,526.0222222222222,39.17761935832573,53.619035555555556,3.250736210960915,259.93359555555554,119.80832077593202
11_energy_focused_k0p2_p30_it50_w0p5_a0p75_b0p15_g0p1,500,300,ga,45,527.2666666666667,41.99805190287244,53.453157777777776,3.5959095410611988,112.69438444444444,29.293831288747747
11_energy_focused_k0p2_p30_it50_w0p5_a0p75_b0p15_g0p1,500,300,pso,45,526.3333333333334,41.41146086422318,53.49272444444444,3.356266854107374,238.47164444444445,67.12548647661053
