space_m,optimizer,iteration,relative_mean,relative_std
100,de,0,1.0,0.0
100,de,1,0.9871442844444444,0.026028437815342392
100,de,2,0.9777722908333334,0.03236625969896858
100,de,3,0.9695400111111111,0.04078025185413657
100,de,4,0.9629535433333333,0.04431798706660847
100,de,5,0.9529648061111112,0.05390456269987465
100,de,6,0.9464688938888889,0.056831495861050386
100,de,7,0.9438605366666667,0.05566785839360141
100,de,8,0.9407248794444444,0.05671947851413994
100,de,9,0.936836528888889,0.06095347883156007
100,de,10,0.9345444661111111,0.0629082516022603
100,de,11,0.9315069108333334,0.06406215977699758
100,de,12,0.9267798566666667,0.0674357890806968
100,de,13,0.9255164122222221,0.06763606502350294
100,de,14,0.9206578069444444,0.07051971117954059
100,de,15,0.9185598455555556,0.07162887839513582
100,de,16,0.9185598455555556,0.07162887839513582
100,de,17,0.9157298297222223,0.07229281618638064
100,de,18,0.9135861991666666,0.07377023043584077
100,de,19,0.9135839250000001,0.07377121291274857
100,de,20,0.9121877030555555,0.07424646532555991
100,de,21,0.91074329,0.07552034661898796
100,de,22,0.9093641180555555,0.07684135329578443
100,de,23,0.9081954980555556,0.07846218871447933
100,de,24,0.9068173091666666,0.08065107416299591
100,de,25,0.9060594591666666,0.08131363429831487
100,de,26,0.9060300236111112,0.08132708562628718
100,de,27,0.9057190155555556,0.08160432857960868
100,de,28,0.9052516588888889,0.08186611723708957
100,de,29,0.9052516588888889,0.08186611723708957
100,de,30,0.9039743083333334,0.08373339975813589
100,de,31,0.9029434230555555,0.08497613840222541
100,de,32,0.9029434230555555,0.08497613840222541
100,de,33,0.9015839508333333,0.08739773279999559
100,de,34,0.9015839508333333,0.08739773279999559
100,de,35,0.9011508658333334,0.08780119203271812
100,de,36,0.9007617027777778,0.08849021554444902
100,de,37,0.9007088350000001,0.08860038423868832
100,de,38,0.9007088350000001,0.08860038423868832
100,de,39,0.9005382172222222,0.08889078136272796
100,de,40,0.9005382172222222,0.08889078136272796
100,de,41,0.8996499425,0.08847314032323715
100,de,42,0.8971488705555556,0.09406948253315747
