space_m,optimizer,iteration,relative_mean,relative_std
100,de,43,0.8965089047222222,0.09593181617411577
100,de,44,0.8965089047222222,0.09593181617411577
100,de,45,0.8965089047222222,0.09593181617411577
100,de,46,0.8963671533333333,0.09600235455298015
100,de,47,0.8963671533333333,0.09600235455298015
100,de,48,0.8963671533333333,0.09600235455298015
100,de,49,0.8963660155555555,0.09600340585424734
100,de,50,0.8960983672222222,0.0957650101640338
100,ga,0,1.0,0.0
100,ga,1,0.9759696136111111,0.045804856820278725
100,ga,2,0.9581549613888889,0.05801488306000264
100,ga,3,0.9480473108333334,0.06306048877413051
100,ga,4,0.9424079472222222,0.06491460139091028
100,ga,5,0.9369284883333333,0.068773945951944
100,ga,6,0.9304536283333333,0.07292975010580574
100,ga,7,0.9251979469444443,0.07965085181179803
100,ga,8,0.9239103238888889,0.07987834319663879
100,ga,9,0.9231063922222221,0.08215562130014803
100,ga,10,0.9218316530555555,0.08599676222062151
100,ga,11,0.9215244516666667,0.08592997480244356
100,ga,12,0.9207252166666667,0.08627922730007537
100,ga,13,0.9192844894444444,0.08576521088477199
100,ga,14,0.9179500627777778,0.08606438992089044
100,ga,15,0.9179468516666667,0.0860682499650101
100,ga,16,0.9179468516666667,0.0860682499650101
100,ga,17,0.9179468516666667,0.0860682499650101
100,ga,18,0.9179005486111111,0.0860428906399172
100,ga,19,0.9179005486111111,0.0860428906399172
100,ga,20,0.9179005486111111,0.0860428906399172
100,ga,21,0.9179005486111111,0.0860428906399172
100,ga,22,0.9179005486111111,0.0860428906399172
100,ga,23,0.917781543611111,0.08594367596542084
100,ga,24,0.917781543611111,0.08594367596542084
100,ga,25,0.9173877061111111,0.08594087950267797
100,ga,26,0.9173877061111111,0.08594087950267797
100,ga,27,0.9173877061111111,0.08594087950267797
100,ga,28,0.9173877061111111,0.08594087950267797
100,ga,29,0.9173877061111111,0.08594087950267797
100,ga,30,0.9173877061111111,0.08594087950267797
100,ga,31,0.9173877061111111,0.08594087950267797
100,ga,32,0.9173877061111111,0.08594087950267797
100,ga,33,0.9173551108333334,0.08596718198976057
100,ga,34,0.9173551108333334,0.08596718198976057
100,ga,35,0.9173551108333334,0.08596718198976057
100,ga,36,0.9173551108333334,0.08596718198976057
100,ga,37,0.9173551108333334,0.08596718198976057
100,ga,38,0.9173551108333334,0.08596718198976057
100,ga,39,0.9173551108333334,0.08596718198976057
100,ga,40,0.9173551108333334,0.08596718198976057
100,ga,41,0.9173551108333334,0.08596718198976057
100,ga,42,0.9173551108333334,0.08596718198976057
100,ga,43,0.9173551108333334,0.08596718198976057
100,ga,44,0.9173551108333334,0.08596718198976057
100,ga,45,0.9173551108333334,0.08596718198976057
100,ga,46,0.916523365,0.08582231018233412
100,ga,47,0.916523365,0.08582231018233412
100,ga,48,0.916523365,0.08582231018233412
100,ga,49,0.9164614775,0.08589836725568159
100,ga,50,0.9156117025000001,0.08530713335349432
100,pso,0,1.0,0.0
100,pso,1,0.9572564591666668,0.06464950596200675
100,pso,2,0.936686285,0.07764916454533044
100,pso,3,0.9325648058333333,0.07631247675887376
100,pso,4,0.9280600130555556,0.08104008059481763
100,pso,5,0.9239285747222223,0.08316249521349163
100,pso,6,0.9210285952777778,0.0826842371922289
100,pso,7,0.9201685263888889,0.08316251410163845
100,pso,8,0.9189467644444443,0.08469797581326802
100,pso,9,0.9180263313888888,0.08558517863363416
100,pso,10,0.9160836458333333,0.0854771942127124
100,pso,11,0.9160804769444445,0.08547972496290719
100,pso,12,0.9160804769444445,0.08547972496290719
100,pso,13,0.9156743508333334,0.085822629932649
100,pso,14,0.9156318469444444,0.08587814127775818
100,pso,15,0.9156318469444444,0.08587814127775818
100,pso,16,0.9156318469444444,0.08587814127775818
100,pso,17,0.9144893077777778,0.08535889022346142
100,pso,18,0.9143149861111112,0.08543663686334316
100,pso,19,0.9143149861111112,0.08543663686334316
100,pso,20,0.9135273911111111,0.08509297830630488
100,pso,21,0.9135273911111111,0.08509297830630488
100,pso,22,0.9129119141666666,0.08531383164263023
100,pso,23,0.9129021708333335,0.08532642372484138
100,pso,24,0.9129021708333335,0.08532642372484138
100,pso,25,0.9129021708333335,0.08532642372484138
100,pso,26,0.9114195375,0.08572747567078019
100,pso,27,0.9114195375,0.08572747567078019
100,pso,28,0.9108397247222223,0.08622797277613654
100,pso,29,0.909619438888889,0.08699439591881927
100,pso,30,0.909336535,0.08696185820709317
100,pso,31,0.909336535,0.08696185820709317
100,pso,32,0.909336535,0.08696185820709317
100,pso,33,0.9088870858333333,0.08697828535127845
100,pso,34,0.9088870858333333,0.08697828535127845
100,pso,35,0.9088870858333333,0.08697828535127845
100,pso,36,0.9088870858333333,0.08697828535127845
100,pso,37,0.9085842188888889,0.08716596348796199
100,pso,38,0.9085842188888889,0.08716596348796199
100,pso,39,0.9085842188888889,0.08716596348796199
100,pso,40,0.9085842188888889,0.08716596348796199
100,pso,41,0.9085842188888889,0.08716596348796199
100,pso,42,0.9081774627777778,0.0871499499447493
100,pso,43,0.9081774627777778,0.0871499499447493
100,pso,44,0.9081774627777778,0.0871499499447493
100,pso,45,0.9081774627777778,0.0871499499447493
100,pso,46,0.9081774627777778,0.0871499499447493
100,pso,47,0.9081774627777778,0.0871499499447493
100,pso,48,0.9081774627777778,0.0871499499447493
100,pso,49,0.9081774627777778,0.0871499499447493
100,pso,50,0.9080212377777779,0.08734404035637909
500,de,0,1.0,0.0
500,de,1,0.97942366,0.09599961081031695
500,de,2,0.9630783855555556,0.0986161080857175
500,de,3,0.9230648955555556,0.20974213251652774
500,de,4,0.8835466714814815,0.2732679497751228
500,de,5,0.8647852748148148,0.28179003945851927
500,de,6,0.8227706974074074,0.32431774542449815
500,de,7,0.8194105962962963,0.32324896785079565
500,de,8,0.8175334677777778,0.3224177441837786
500,de,9,0.8160820885185186,0.32214984922763884
500,de,10,0.8150671944444445,0.3219354974427793
500,de,11,0.8077866685185185,0.3206774848209079
500,de,12,0.805514937037037,0.3205738290827006
500,de,13,0.8012349118518519,0.31916686043152925
500,de,14,0.7996391651851852,0.3188085665870999
500,de,15,0.7970086144444445,0.31855821653158334
500,de,16,0.7945851496296297,0.31811308278075595
500,de,17,0.7926729618518519,0.31790908537465784
500,de,18,0.7907067255555555,0.3177463401967783
500,de,19,0.7880586055555555,0.3175328863703024
500,de,20,0.7836592418518519,0.31618306638630267
500,de,21,0.7816772392592592,0.3160095665381692
500,de,22,0.7798847277777777,0.31605445323105597
500,de,23,0.7792485400000001,0.31606599492815274
500,de,24,0.7785157166666666,0.31590744586067754
500,de,25,0.7765515081481481,0.31593319137322434
500,de,26,0.7749847503703704,0.31575177027905926
500,de,27,0.7744964670370371,0.3156956259563762
500,de,28,0.7729392014814814,0.3155312194591089
500,de,29,0.7725691107407407,0.3154446874901151
500,de,30,0.7719803492592592,0.31533617655649393
500,de,31,0.7717962751851851,0.31532592147515576
500,de,32,0.7714704844444445,0.31531182910345046
500,de,33,0.7681908829629629,0.3153074849270462
500,de,34,0.7676268837037037,0.3152387416915758
500,de,35,0.7669759418518518,0.3151923612846375
500,de,36,0.7667988844444444,0.3151860359137792
500,de,37,0.7663436633333334,0.3151460045087328
500,de,38,0.7659782966666667,0.3150974053813323
500,de,39,0.7651073433333333,0.3150597389054436
500,de,40,0.7645093111111111,0.3151775744227107
500,de,41,0.7628177825925926,0.31500828937895625
500,de,42,0.7615153951851852,0.3149844644856693
500,de,43,0.7613757777777778,0.31496188211937154
500,de,44,0.7590212774074074,0.3149474658540976
500,de,45,0.7588906033333332,0.31492581722221646
500,de,46,0.7583342596296296,0.3148725193320618
500,de,47,0.7579626262962963,0.3147993971719793
500,de,48,0.7574813888888889,0.31483354470259417
500,de,49,0.7566488388888888,0.3148633532452326
500,de,50,0.7561387933333333,0.3148185264925789
500,ga,0,1.0,0.0
500,ga,1,0.979394072962963,0.09552976067823421
500,ga,2,0.9462962544444444,0.13160068288157006
500,ga,3,0.9382836466666666,0.13128513529377778
500,ga,4,0.8938415422222222,0.22234311189841868
500,ga,5,0.8889996044444445,0.22219170856209486
500,ga,6,0.8854255662962963,0.22221278977206171
500,ga,7,0.8800112122222222,0.22222775353187102
500,ga,8,0.8759543037037036,0.22211385826640112
500,ga,9,0.8732859362962963,0.22262801417368447
500,ga,10,0.8705770207407407,0.22292989969370292
500,ga,11,0.8699983455555556,0.22289077879401886
500,ga,12,0.8668117944444445,0.22334098806644925
500,ga,13,0.8660659777777778,0.22335421296343305
500,ga,14,0.8657966874074075,0.22335159137111368
500,ga,15,0.8651766618518519,0.22360691004186048
500,ga,16,0.8650108400000001,0.2236905882169256
500,ga,17,0.8650108400000001,0.2236905882169256
500,ga,18,0.8650098788888889,0.22369047943578874
500,ga,19,0.8637546455555556,0.22416325449957283
500,ga,20,0.8627484829629629,0.22440745682068006
500,ga,21,0.8627384792592593,0.2244124889173933
500,ga,22,0.8626260766666667,0.22439355432950325
500,ga,23,0.8623023244444444,0.22454425317210275
500,ga,24,0.8623023244444444,0.22454425317210275
500,ga,25,0.8614082418518519,0.2247856404935353
500,ga,26,0.8614082418518519,0.2247856404935353
500,ga,27,0.8606331818518519,0.22475094015883826
500,ga,28,0.8606113607407407,0.22474853470264256
500,ga,29,0.8606113607407407,0.22474853470264256
500,ga,30,0.8603805774074075,0.22478794260770285
500,ga,31,0.8601511733333334,0.22476587400694545
500,ga,32,0.8597153003703704,0.2249911307648627
500,ga,33,0.8591351466666667,0.22503506079747404
500,ga,34,0.8591351466666667,0.22503506079747404
500,ga,35,0.8586372474074074,0.22528584726118203
500,ga,36,0.8584097481481481,0.22527622401660877
500,ga,37,0.8584097481481481,0.22527622401660877
500,ga,38,0.8581925433333333,0.2252452887945701
500,ga,39,0.8578126359259259,0.22530441536240545
500,ga,40,0.8575908703703704,0.2254254291474723
500,ga,41,0.8575908703703704,0.2254254291474723
500,ga,42,0.8572054340740741,0.22561503989771814
500,ga,43,0.8572054340740741,0.22561503989771814
500,ga,44,0.8571814207407408,0.22561473812973165
500,ga,45,0.8571814207407408,0.22561473812973165
500,ga,46,0.8571051611111111,0.2256309525661425
500,ga,47,0.8571051611111111,0.2256309525661425
500,ga,48,0.857105157037037,0.2256309686374848
500,ga,49,0.857105157037037,0.2256309686374848
500,ga,50,0.857105157037037,0.2256309686374848
500,pso,0,1.0,0.0
500,pso,1,0.8931667022222222,0.22322089216846952
500,pso,2,0.8449492777777777,0.27932463051529344
500,pso,3,0.8387729207407406,0.2787058584228011
500,pso,4,0.836449975925926,0.2782372621208541
500,pso,5,0.8294686970370371,0.2786407826332672
500,pso,6,0.8245152266666667,0.2779606675393282
500,pso,7,0.8222189955555556,0.2777271971575186
500,pso,8,0.8208959977777778,0.2774595433429977
500,pso,9,0.8200767499999999,0.2774430758823636
500,pso,10,0.8189018311111111,0.2773953484763583
500,pso,11,0.8169944114814816,0.277198374811514
500,pso,12,0.816780552962963,0.27718758270419785
500,pso,13,0.8145541866666667,0.2775604484321314
500,pso,14,0.8132459433333333,0.2775612696515942
500,pso,15,0.812210577037037,0.27758844640561686
500,pso,16,0.8121225207407408,0.2775924182542443
500,pso,17,0.8106865885185185,0.2777557731612742
500,pso,18,0.8102353677777777,0.2779392430438979
500,pso,19,0.8097632051851852,0.27800724539324856
500,pso,20,0.8096320922222223,0.2780271191164303
500,pso,21,0.807779828888889,0.278411087013287
500,pso,22,0.8074291185185186,0.27843328705722253
500,pso,23,0.8069134803703704,0.2785291882691182
500,pso,24,0.8065574577777779,0.27860305623214915
500,pso,25,0.8055387251851852,0.27868364868250417
500,pso,26,0.8047072211111111,0.27869173389552976
500,pso,27,0.8031269325925926,0.2784582633648511
500,pso,28,0.8025001785185185,0.27847488413777993
500,pso,29,0.8014111737037036,0.2785987625110652
500,pso,30,0.8004028425925925,0.27860811622122816
500,pso,31,0.7997673562962964,0.2788015795119216
500,pso,32,0.7994336940740742,0.27892623258030447
500,pso,33,0.7992897781481482,0.27891328081793754
500,pso,34,0.799141472962963,0.2789225195951543
500,pso,35,0.7990479918518518,0.27890460351313884
500,pso,36,0.797440224074074,0.2787735848724078
500,pso,37,0.797254942962963,0.2787587725939389
500,pso,38,0.7967076418518518,0.2787844323659375
500,pso,39,0.7967076396296296,0.2787844306903882
500,pso,40,0.7967076396296296,0.2787844306903882
500,pso,41,0.7967076396296296,0.2787844306903882
500,pso,42,0.7964933996296296,0.2787772087245218
500,pso,43,0.7964837566666667,0.27877929481910874
500,pso,44,0.7964837566666667,0.27877929481910874
500,pso,45,0.7959839659259259,0.27896523260467015
500,pso,46,0.7953922214814815,0.27893366153183663
500,pso,47,0.7951558903703704,0.2789425916153592
500,pso,48,0.7951558903703704,0.2789425916153592
500,pso,49,0.7943766266666666,0.2791527952736052
500,pso,50,0.794057895925926,0.27923044952465276
