space_m,node_count,optimizer,runs,ft5_mean,ft5_std,residual_energy_pct_mean,residual_energy_pct_std,runtime_sec_mean,runtime_sec_std
100,20,de,45,709.2888888888889,170.50068277952096,51.34189111111111,11.699232194402997,7.323126666666667,1.7708510106725528
100,20,ga,45,713.9777777777778,169.82189719726009,51.01965777777777,11.653974041472424,7.19862888888889,1.8047787448909356
100,20,leach,45,522.3111111111111,127.46351032607906,64.16972,8.746092589722565,0.45944222222222225,0.12256870891071837
100,20,pso,45,707.3777777777777,178.929555575891,51.47333111111111,12.277336577813578,7.214706666666666,2.701431826693527
100,50,de,45,769.3333333333334,117.50203093022377,44.662131111111115,8.586775546650532,19.36146,3.6287739517513495
100,50,ga,45,779.9333333333333,104.87186987419024,43.87417333333333,7.751115153769811,11.980608888888888,1.6985450895642504
100,50,leach,45,588.2,62.94427549969749,57.68264,4.527952086178395,1.2004688888888888,0.15609553721158634
100,50,pso,45,777.8666666666667,116.53395915510481,44.02555333333333,8.400866765497257,19.398813333333333,4.304096344371996
100,100,de,45,792.1555555555556,121.43160356115841,39.81275333333333,9.220942948443753,62.18328222222222,17.913868843241506
100,100,ga,45,795.8444444444444,130.95852146169923,39.550668888888886,9.936388492712076,21.103244444444442,5.147394773464427
100,100,leach,45,575.0666666666667,47.442022032639535,56.423268888888884,3.5884208833807176,2.4303133333333333,0.2254930260965555
100,100,pso,45,786.5333333333333,124.38477691129539,40.249115555555555,9.472397569732314,47.79048,10.921205687010932
100,150,de,45,798.9333333333333,106.58765065769713,36.69144444444444,8.467626816307654,112.70989777777777,54.50816458796246
100,150,ga,45,802.6444444444444,105.42902730263519,36.410244444444444,8.339894576850465,34.52825333333333,16.04608434050331
100,150,leach,45,575.7333333333333,37.44110526729097,54.53669777777778,2.9728547724282635,3.8254488888888885,0.3172021671241902
100,150,pso,45,810.2888888888889,96.25053062952246,35.82086888888889,7.653594058730075,83.65037777777778,22.905284883603617
500,100,de,45,711.8888888888889,131.7378978782253,48.23130444444444,7.347784720826828,37.56908222222222,11.711349257417874
500,100,ga,45,709.1111111111111,111.96757286704653,48.18488444444445,6.4465051029063805,21.345135555555558,8.841297748972138
500,100,leach,45,491.15555555555557,59.42946757427345,62.22963333333334,3.8795948133090583,3.812526666666667,1.3519945007957015
500,100,pso,45,699.2666666666667,108.76902132500778,48.8182,6.004787739114365,40.93112222222222,13.565256855003604
500,200,de,45,570.2222222222222,67.40342886101732,51.54034222222222,4.752762184030408,88.38884888888889,35.908030010092965
500,200,ga,45,573.5777777777778,61.44971665327411,51.25023111111111,4.801510084140299,44.15857333333334,11.669686759475278
500,200,leach,45,421.77777777777777,35.726797231266644,64.39924222222223,2.2947941351012178,5.687684444444444,1.195577722076341
500,200,pso,45,582.2888888888889,63.71835122496723,50.57824222222222,4.927398191674093,117.09816666666666,41.98814580464673
500,300,de,45,529.8888888888889,40.98903524237927,53.595531111111114,3.389315639477992,182.93166444444444,67.09925731747963
500,300,ga,45,534.5333333333333,42.62820235904436,53.03573777777778,3.5598550549712065,83.01134444444445,24.20092557356165
500,300,leach,45,413.02222222222224,26.811199227942122,64.43430888888889,2.0591904147043087,8.099,0.8240419652266172
500,300,pso,45,527.1333333333333,43.23592782103161,53.769220000000004,3.463314881439458,258.36426222222224,133.96678627359012
