suite,space_m,node_count,packet_size_bits,initial_energy_j,pso_c1,pso_c2,pso_omega,transmission_range_m,cluster_head_ratio,eulc_candidate_ratio,pso_particles,pso_iterations,runs,seed_start,seed_end,max_rounds,fnd_mean,fnd_std,fnd_min,fnd_max,fnd_cv_pct,residual_energy_pct_at_fnd,dead_nodes_pct_at_fnd,packets_received_mean,elapsed_sec
space500_scale_stress_v2,500,1500,4000,1.0,1.5,1.5,0.65,150.0,0.2,0.4,4,3,10,72,81,6000,3491.8,111.5704,3318,3660,3.1952,22.62,0.07,1047557,382.27
space500_scale_stress_v2,500,2000,4000,1.0,1.5,1.5,0.65,150.0,0.2,0.4,4,3,10,72,81,6000,3370.1,203.7172,2960,3615,6.0448,25.31,0.06,1348058.9,574.07
space500_scale_stress_v2,500,2500,4000,1.0,1.5,1.5,0.65,150.0,0.2,0.4,4,3,10,72,81,6000,3395.9,110.0095,3200,3538,3.2395,24.77,0.04,1697965,816.26
space500_scale_stress_v2,500,1000,4000,0.5,1.5,1.5,0.65,150.0,0.2,0.4,4,3,20,82,101,6000,1415.3,66.9291,1298,1536,4.729,37.24,0.1,283091,151.93
space500_scale_stress_v2,500,1000,4000,1.0,1.5,1.5,0.65,150.0,0.2,0.4,4,3,20,82,101,6000,3499.2,181.4692,3099,3739,5.186,22.4,0.1,699875,399.44
space500_scale_stress_v2,500,1000,6400,1.0,1.5,1.5,0.65,150.0,0.2,0.4,4,3,20,82,101,6000,2070.1,90.1559,1939,2256,4.3551,26.67,0.1,414053,232.49
space500_scale_stress_v2,500,1500,4000,0.5,1.5,1.5,0.65,150.0,0.2,0.4,4,3,20,82,101,6000,1337.45,124.9098,1020,1538,9.3394,40.75,0.07,401259.9,237.87
space500_scale_stress_v2,500,1500,4000,1.0,1.5,1.5,0.65,150.0,0.2,0.4,4,3,20,82,101,6000,3534.8,119.9131,3298,3738,3.3924,21.67,0.08,1060463.85,704.75
space500_scale_stress_v2,500,1500,6400,0.5,1.5,1.5,0.65,150.0,0.2,0.4,4,3,20,82,101,6000,716.7,93.8888,520,837,13.1002,49.3,0.07,215032,139.39
space500_scale_stress_v2,500,1500,6400,1.0,1.5,1.5,0.65,150.0,0.2,0.4,4,3,20,82,101,6000,2036.7,103.6036,1760,2197,5.0868,27.92,0.07,611035,400.82
space500_scale_stress_v2,500,2000,4000,0.5,1.5,1.5,0.65,150.0,0.2,0.4,4,3,20,82,101,6000,1298.2,71.2303,1158,1460,5.4869,42.49,0.05,519304.05,374.73
space500_scale_stress_v2,500,2000,4000,1.0,1.5,1.5,0.65,150.0,0.2,0.4,4,3,20,82,101,6000,3400.3,148.5564,3139,3657,4.3689,24.65,0.05,1360145,931.1
space500_scale_stress_v2,500,2000,6400,0.5,1.5,1.5,0.65,150.0,0.2,0.4,4,3,20,82,101,6000,697.1,67.2881,518,800,9.6526,50.68,0.05,278862,179.96
space500_scale_stress_v2,500,2000,6400,1.0,1.5,1.5,0.65,150.0,0.2,0.4,4,3,20,82,101,6000,1946.3,112.4976,1679,2099,5.7801,31.12,0.05,778546,553.87
space500_scale_stress_v2,500,2500,4000,0.5,1.5,1.5,0.65,150.0,0.2,0.4,4,3,20,82,101,6000,1233.3,112.9128,980,1418,9.1553,45.39,0.04,616669.9,525.62
space500_scale_stress_v2,500,2500,4000,1.0,1.5,1.5,0.65,150.0,0.2,0.4,4,3,20,82,101,6000,3396.45,121.1877,3180,3619,3.5681,24.77,0.04,1698242,1445.05
space500_scale_stress_v2,500,2500,6400,0.5,1.5,1.5,0.65,150.0,0.2,0.4,4,3,20,82,101,6000,676,59.8306,559,799,8.8507,52.2,0.04,338013.95,297.05
space500_scale_stress_v2,500,2500,6400,1.0,1.5,1.5,0.65,150.0,0.2,0.4,4,3,20,82,101,6000,1907.4,109.6195,1698,2117,5.7471,32.53,0.04,953716.95,843.24
space500_scale_stress_v2,500,2500,6400,1.0,1.5,1.5,0.65,150.0,0.2,0.4,4,3,20,82,101,6000,1907.4,109.6195,1698,2117,5.7471,32.53,0.04,953716.95,810.47
