suite,space_m,node_count,packet_size_bits,initial_energy_j,transmission_range_m,pso_particles,pso_iterations,runs,seed_start,seed_end,max_rounds,ft5_dead_threshold_nodes,ft5_mean,ft5_std,ft5_min,ft5_max,ft5_cv_pct,fnd_mean,fnd_std,runtime_mean_sec,runtime_std_sec,runtime_total_sec,pso_recluster_mean,pso_final_improvement_mean_pct,pso_final_improvement_std_pct
S2,100,50,6400,0.5,150.0,20,50,10,2642,2651,5000,3,877.2,105.7174,760.0,1094.0,12.0517,831.1,93.197,5.7006,0.9665,57.0063,46.0,16.1801,8.5443
S2,100,70,6400,0.5,150.0,20,50,10,2642,2651,5000,4,922.7,109.5765,757.0,1118.0,11.8756,833.4,98.0298,9.1147,1.6956,91.1472,48.7,16.3484,8.2793
S2,100,90,6400,0.5,150.0,20,50,10,2642,2651,5000,5,922.4,49.2447,859.0,1011.0,5.3388,832.5,45.6952,12.9223,1.1415,129.2228,50.0,16.9701,7.6956
S2,500,100,6400,0.5,150.0,20,50,10,2642,2651,5000,5,911.6,39.3909,849.0,979.0,4.3211,738.0,92.0065,5.3789,0.5476,53.7893,49.4,68.8895,15.9199
S2,500,200,6400,0.5,150.0,20,50,10,2642,2651,5000,10,979.4,28.4612,924.0,1028.0,2.906,856.7,63.2425,26.0899,4.4441,260.8992,57.2,95.0598,17.8915
S2,500,300,6400,0.5,150.0,20,50,10,2642,2651,5000,15,1038.6,10.5849,1020.0,1059.0,1.0192,809.2,72.6936,77.3888,6.8069,773.8875,64.0,62.575,41.0096
S2,1000,500,6400,0.5,150.0,20,50,10,2642,2651,5000,25,835.6,70.643,732.0,945.0,8.4542,457.7,58.8456,50.3143,4.008,503.1429,63.4,37.5993,6.309
S2,1000,700,6400,0.5,150.0,20,50,10,2642,2651,5000,35,896.8,51.6136,791.0,982.0,5.7553,472.0,55.8838,96.8346,9.1359,968.3464,75.0,48.4019,7.5883
S2,1000,1000,6400,0.5,150.0,20,50,10,2642,2651,5000,50,959.8,34.1051,891.0,1016.0,3.5534,462.8,69.4072,274.2815,17.3973,2742.8155,86.0,59.9956,8.7658
