suite,space_m,node_count,packet_size_bits,initial_energy_j,pso_c1,pso_c2,pso_omega,transmission_range_m,cluster_head_ratio,eulc_candidate_ratio,pso_particles,pso_iterations,runs,seed_start,seed_end,max_rounds,fnd_mean,fnd_std,fnd_min,fnd_max,hnd_mean,lnd_mean,first_5pct_mean,residual_energy_pct_at_stop,dead_nodes_pct_at_stop,packets_received_mean,alive_nodes_mean,censored_runs,elapsed_sec
packet_sweep_100m_v2,100,200,4000,0.5,1.5,1.5,0.65,150.0,0.2,0.2,4,3,3,42,44,6000,1064.3333,150.0341,855,1199,,,,53.44,0.5,11561.6667,199,0,1.53
packet_sweep_100m_v2,100,300,4000,0.5,1.5,1.5,0.65,150.0,0.2,0.2,4,3,3,42,44,6000,782.6667,136.2212,677,975,,,,65.71,0.33,11107,299,0,1.71
packet_sweep_100m_v2,100,500,4000,0.5,1.5,1.5,0.65,150.0,0.2,0.2,4,3,3,42,44,6000,937.6667,76.526,856,1040,,,,58.91,0.2,19755,499,0,2.71
packet_sweep_100m_v2,100,100,5200,0.5,1.5,1.5,0.65,150.0,0.2,0.2,4,3,3,42,44,6000,714,89.0992,602,820,,,,59.62,1.0,3709,99,0,0.64
packet_sweep_100m_v2,100,200,5200,0.5,1.5,1.5,0.65,150.0,0.2,0.2,4,3,3,42,44,6000,645.3333,98.7331,519,760,,,,63.35,0.5,6879.3333,199,0,1.1
packet_sweep_100m_v2,100,300,5200,0.5,1.5,1.5,0.65,150.0,0.2,0.2,4,3,3,42,44,6000,398.3333,269.4195,79,738,,,,77.34,0.33,5466.6667,299,0,1.15
packet_sweep_100m_v2,100,500,5200,0.5,1.5,1.5,0.65,150.0,0.2,0.2,4,3,3,42,44,6000,178.6667,156.7638,57,400,,,,89.83,0.2,3276,499,0,1.04
packet_sweep_100m_v2,100,100,6400,0.5,1.5,1.5,0.65,150.0,0.2,0.2,4,3,3,42,44,6000,372.6667,232.7249,60,618,,,,74.05,1.0,2002.3333,99,0,0.56
packet_sweep_100m_v2,100,200,6400,0.5,1.5,1.5,0.65,150.0,0.2,0.2,4,3,3,42,44,6000,319,86.5679,199,400,,,,77.72,0.5,3123,199,0,0.65
packet_sweep_100m_v2,100,300,6400,0.5,1.5,1.5,0.65,150.0,0.2,0.2,4,3,3,42,44,6000,65,9.9331,57,79,,,,95.46,0.33,763.3333,299,0,0.38
