space_m,node_count,packet_size_bits,initial_energy_j,pso_c1,pso_c2,cluster_head_ratio,eulc_candidate_ratio,pso_particles,pso_iterations,runs,seed_start,seed_end,max_rounds,fnd_mean,fnd_std,fnd_min,fnd_max,fnd_cv_pct,residual_energy_pct_at_fnd,dead_nodes_pct_at_fnd,elapsed_sec
100,500,4000,0.5,1.5,1.5,0.2,0.4,4,3,10,42,51,6000,1694.5,32.4692,1636,1757,1.9162,28.49,0.24,49.0
100,500,6400,0.5,1.5,1.5,0.2,0.4,4,3,10,42,51,6000,966.3,60.7125,859,1051,6.283,34.9,0.2,23.64
100,500,6400,0.5,2.5,0.5,0.2,0.4,4,3,10,42,51,6000,958.8,51.3163,839,1018,5.3521,35.43,0.2,26.92
100,500,6400,0.5,0.5,2.5,0.2,0.4,4,3,10,42,51,6000,968,39.3802,898,1018,4.0682,34.83,0.22,25.47
100,500,4000,0.5,2.5,0.5,0.2,0.4,4,3,10,42,51,6000,1690.7,33.0153,1639,1739,1.9528,28.64,0.2,33.8
100,500,4000,0.5,0.5,2.5,0.2,0.4,4,3,10,42,51,6000,1712.3,41.6918,1620,1776,2.4348,27.79,0.2,40.08
100,500,4000,1.0,1.5,1.5,0.2,0.4,4,3,10,42,51,6000,3965.8,66.4497,3880,4078,1.6756,16.3,0.2,122.91
100,500,4000,1.0,2.5,0.5,0.2,0.4,4,3,10,42,51,6000,3969.9,57.1532,3860,4039,1.4397,16.21,0.2,109.86
100,500,4000,1.0,0.5,2.5,0.2,0.4,4,3,10,42,51,6000,3967.2,68.0952,3800,4052,1.7165,16.29,0.2,107.0
100,500,6400,1.0,1.5,1.5,0.2,0.4,4,3,10,42,51,6000,2414.8,33.0569,2360,2479,1.3689,18.61,0.24,69.64
100,500,6400,1.0,2.5,0.5,0.2,0.4,4,3,10,42,51,6000,2388.5,66.1789,2258,2479,2.7707,19.5,0.2,68.86
100,500,6400,1.0,0.5,2.5,0.2,0.4,4,3,10,42,51,6000,2402.3,59.22,2238,2456,2.4651,19.08,0.2,71.84
100,100,4000,0.5,1.5,1.5,0.2,0.4,4,3,20,52,71,6000,1545.45,97.0616,1380,1754,6.2805,33.94,1.0,12.65
100,100,4000,0.5,2.5,0.5,0.2,0.4,4,3,20,52,71,6000,1590.4,106.3421,1239,1776,6.6865,32.1,1.0,15.88
100,100,4000,0.5,0.5,2.5,0.2,0.4,4,3,20,52,71,6000,1585.15,78.8348,1419,1754,4.9733,32.25,1.0,16.82
100,100,4000,1.0,1.5,1.5,0.2,0.4,4,3,20,52,71,6000,3576.7,239.1826,3079,3873,6.6872,23.71,1.05,35.07
100,100,4000,1.0,2.5,0.5,0.2,0.4,4,3,20,52,71,6000,3612.4,186.7781,3200,3855,5.1705,23.06,1.05,34.05
100,100,4000,1.0,0.5,2.5,0.2,0.4,4,3,20,52,71,6000,3576.05,211.1898,3140,3926,5.9057,23.72,1.0,34.63
100,100,6400,0.5,1.5,1.5,0.2,0.4,4,3,20,52,71,6000,909.5,59.3814,795,996,6.529,37.83,1.0,9.31
100,100,6400,0.5,2.5,0.5,0.2,0.4,4,3,20,52,71,6000,937.1,71.6784,700,1036,7.649,36.05,1.05,9.41
100,100,6400,0.5,0.5,2.5,0.2,0.4,4,3,20,52,71,6000,924.6,62.5903,760,1053,6.7694,36.82,1.0,9.32
100,100,6400,1.0,1.5,1.5,0.2,0.4,4,3,20,52,71,6000,2207,106.2441,2019,2379,4.814,24.7,1.05,22.22
100,100,6400,1.0,2.5,0.5,0.2,0.4,4,3,20,52,71,6000,2235.45,132.2847,1973,2456,5.9176,23.84,1.0,21.84
100,100,6400,1.0,0.5,2.5,0.2,0.4,4,3,20,52,71,6000,2221.6,126.3275,1976,2380,5.6863,24.26,1.0,21.84
100,200,4000,0.5,1.5,1.5,0.2,0.4,4,3,20,52,71,6000,1629.05,46.4279,1499,1716,2.85,30.63,0.53,32.64
100,200,4000,0.5,2.5,0.5,0.2,0.4,4,3,20,52,71,6000,1646.3,56.0786,1536,1734,3.4063,29.99,0.5,30.41
100,200,4000,0.5,0.5,2.5,0.2,0.4,4,3,20,52,71,6000,1656.4,43.2,1558,1737,2.6081,29.49,0.53,31.21
100,200,4000,1.0,1.5,1.5,0.2,0.4,4,3,20,52,71,6000,3819.5,81.4834,3600,3936,2.1334,18.81,0.5,71.68
100,200,4000,1.0,2.5,0.5,0.2,0.4,4,3,20,52,71,6000,3838.7,108.2585,3598,4020,2.8202,18.48,0.5,71.66
100,200,4000,1.0,0.5,2.5,0.2,0.4,4,3,20,52,71,6000,3811.55,89.834,3599,3977,2.3569,18.99,0.55,71.56
100,200,6400,0.5,1.5,1.5,0.2,0.4,4,3,20,52,71,6000,955.95,51.8917,780,1018,5.4283,34.96,0.55,17.77
100,200,6400,0.5,2.5,0.5,0.2,0.4,4,3,20,52,71,6000,962.9,55.5679,877,1060,5.7709,34.62,0.5,17.25
100,200,6400,0.5,0.5,2.5,0.2,0.4,4,3,20,52,71,6000,957.3,57.5083,780,1032,6.0073,34.94,0.5,17.96
100,200,6400,1.0,1.5,1.5,0.2,0.4,4,3,20,52,71,6000,2313.55,90.2488,2178,2477,3.9009,21.38,0.5,43.35
100,200,6400,1.0,2.5,0.5,0.2,0.4,4,3,20,52,71,6000,2324.65,47.2422,2220,2400,2.0322,21.11,0.53,44.16
100,200,6400,1.0,0.5,2.5,0.2,0.4,4,3,20,52,71,6000,2333.5,61.0913,2179,2420,2.618,20.73,0.55,42.11
100,300,4000,0.5,1.5,1.5,0.2,0.4,4,3,20,52,71,6000,1653.3,66.0826,1515,1733,3.997,29.78,0.33,48.51
100,300,4000,0.5,2.5,0.5,0.2,0.4,4,3,20,52,71,6000,1665.95,52.0581,1540,1755,3.1248,29.33,0.33,44.4
100,300,4000,0.5,0.5,2.5,0.2,0.4,4,3,20,52,71,6000,1655.45,53.8131,1536,1720,3.2507,29.72,0.35,45.91
100,300,4000,1.0,1.5,1.5,0.2,0.4,4,3,20,52,71,6000,3871.7,82.0714,3735,4015,2.1198,17.88,0.35,112.09
100,300,4000,1.0,2.5,0.5,0.2,0.4,4,3,20,52,71,6000,3878,90.0405,3600,4017,2.3218,17.81,0.33,108.25
100,300,4000,1.0,0.5,2.5,0.2,0.4,4,3,20,52,71,6000,3887.25,87.8208,3639,4038,2.2592,17.64,0.35,107.15
100,300,6400,0.5,1.5,1.5,0.2,0.4,4,3,20,52,71,6000,970,35.3737,919,1035,3.6468,34.2,0.38,26.41
100,300,6400,0.5,2.5,0.5,0.2,0.4,4,3,20,52,71,6000,967.2,50.4188,857,1038,5.2129,34.46,0.35,25.58
100,300,6400,0.5,0.5,2.5,0.2,0.4,4,3,20,52,71,6000,959.5,43.8913,876,1039,4.5744,34.98,0.33,25.62
100,300,6400,1.0,1.5,1.5,0.2,0.4,4,3,20,52,71,6000,2345.45,62.1639,2180,2415,2.6504,20.48,0.33,64.47
100,300,6400,1.0,2.5,0.5,0.2,0.4,4,3,20,52,71,6000,2353.6,76.9554,2098,2458,3.2697,20.26,0.33,63.65
100,300,6400,1.0,0.5,2.5,0.2,0.4,4,3,20,52,71,6000,2369.25,46.494,2295,2473,1.9624,19.73,0.37,64.31
100,500,4000,0.5,1.5,1.5,0.2,0.4,4,3,20,52,71,6000,1671.1,53.0781,1536,1739,3.1762,29.4,0.2,76.59
100,500,4000,0.5,2.5,0.5,0.2,0.4,4,3,20,52,71,6000,1664.1,41.41,1560,1757,2.4884,29.7,0.2,81.55
100,500,4000,0.5,0.5,2.5,0.2,0.4,4,3,20,52,71,6000,1674.5,35.1248,1617,1738,2.0976,29.33,0.21,85.31
100,500,4000,1.0,1.5,1.5,0.2,0.4,4,3,20,52,71,6000,3943.4,103.5371,3660,4080,2.6256,16.78,0.2,178.73
100,500,4000,1.0,2.5,0.5,0.2,0.4,4,3,20,52,71,6000,3956.1,71.9214,3780,4059,1.818,16.5,0.21,164.15
100,500,4000,1.0,0.5,2.5,0.2,0.4,4,3,20,52,71,6000,3936,70.8894,3778,4038,1.8011,16.98,0.21,135.28
100,500,6400,0.5,1.5,1.5,0.2,0.4,4,3,20,52,71,6000,962.15,63.628,780,1055,6.6131,35.12,0.2,45.14
100,500,6400,0.5,2.5,0.5,0.2,0.4,4,3,20,52,71,6000,973.05,43.6514,840,1020,4.486,34.39,0.22,44.1
100,500,6400,0.5,0.5,2.5,0.2,0.4,4,3,20,52,71,6000,969.05,36.1407,879,1036,3.7295,34.71,0.21,39.51
100,500,6400,1.0,1.5,1.5,0.2,0.4,4,3,20,52,71,6000,2393.05,51.5941,2279,2494,2.156,19.29,0.22,109.98
100,500,6400,1.0,2.5,0.5,0.2,0.4,4,3,20,52,71,6000,2385.25,55.0907,2295,2459,2.3096,19.54,0.21,109.28
100,500,6400,1.0,0.5,2.5,0.2,0.4,4,3,20,52,71,6000,2398.35,46.8661,2300,2479,1.9541,19.2,0.22,103.96
