folder_name,space_m,node_count,optimizer,runs,ft5_mean,ft5_std,residual_energy_pct_mean,residual_energy_pct_std,runtime_sec_mean,runtime_sec_std
02_balanced_low_omega_k0p2_p30_it50_w0p4_a0p34_b0p33_g0p33,100,20,de,45,768.8222222222222,115.31050746273355,47.25735111111111,7.912091516143394,11.537582222222222,4.262226720180686
02_balanced_low_omega_k0p2_p30_it50_w0p4_a0p34_b0p33_g0p33,100,20,ga,45,802.6444444444444,121.32247703679411,44.93675777777778,8.32484543518783,15.82696888888889,4.150080857526765
02_balanced_low_omega_k0p2_p30_it50_w0p4_a0p34_b0p33_g0p33,100,20,pso,45,785.5333333333333,119.18923075208062,46.11160888888889,8.176076854925379,7.263039999999999,2.488911719498011
02_balanced_low_omega_k0p2_p30_it50_w0p4_a0p34_b0p33_g0p33,100,50,de,45,813.9777777777778,71.92593693543662,41.24670444444444,5.242865851974279,30.242584444444446,11.84045700459687
02_balanced_low_omega_k0p2_p30_it50_w0p4_a0p34_b0p33_g0p33,100,50,ga,45,836.3111111111111,62.520477453472,39.683413333333334,4.561024031279499,24.474933333333336,5.420909353395173
02_balanced_low_omega_k0p2_p30_it50_w0p4_a0p34_b0p33_g0p33,100,50,pso,45,819.1777777777778,77.09801580069384,40.89861555555555,5.548220231502398,21.239908888888888,7.542612293671634
02_balanced_low_omega_k0p2_p30_it50_w0p4_a0p34_b0p33_g0p33,100,100,de,45,808.9555555555555,90.11985846021338,38.49953111111111,6.883729097458146,98.9451288888889,40.73552553660024
02_balanced_low_omega_k0p2_p30_it50_w0p4_a0p34_b0p33_g0p33,100,100,ga,45,833.1777777777778,67.74963565446775,36.65060888888889,5.231666173141397,45.37332222222222,11.588333658407747
02_balanced_low_omega_k0p2_p30_it50_w0p4_a0p34_b0p33_g0p33,100,100,pso,45,825.8666666666667,79.43253283590587,37.21252888888888,6.088710203230172,46.81484888888889,13.737561699466411
02_balanced_low_omega_k0p2_p30_it50_w0p4_a0p34_b0p33_g0p33,100,150,de,45,809.1777777777778,67.68956173352555,35.839064444444446,5.431819280831806,152.17661777777778,54.96114324637283
02_balanced_low_omega_k0p2_p30_it50_w0p4_a0p34_b0p33_g0p33,100,150,ga,45,816.6444444444444,65.17011151090222,35.23900888888889,5.248843930585713,60.77025333333333,25.135142585419395
02_balanced_low_omega_k0p2_p30_it50_w0p4_a0p34_b0p33_g0p33,100,150,pso,45,809.4,70.43675435194591,35.81322,5.667828045669059,63.60340888888889,17.80825871230718
02_balanced_low_omega_k0p2_p30_it50_w0p4_a0p34_b0p33_g0p33,500,100,de,45,710.3555555555556,115.65881555749057,48.10975111111111,6.189229303894947,55.86219333333333,19.38290739679961
02_balanced_low_omega_k0p2_p30_it50_w0p4_a0p34_b0p33_g0p33,500,100,ga,45,697.7111111111111,103.01469935319078,48.651360000000004,5.501774047870212,26.34149777777778,3.404738329518871
02_balanced_low_omega_k0p2_p30_it50_w0p4_a0p34_b0p33_g0p33,500,100,pso,45,710.8444444444444,107.37613488775956,47.81594666666667,5.974303894011419,38.607755555555556,15.167083160365223
02_balanced_low_omega_k0p2_p30_it50_w0p4_a0p34_b0p33_g0p33,500,200,de,45,566.7333333333333,63.65974894989489,51.75169555555556,4.461353679350307,133.31414444444442,62.087478639909044
02_balanced_low_omega_k0p2_p30_it50_w0p4_a0p34_b0p33_g0p33,500,200,ga,45,569.6,55.119044720578124,51.577417777777775,3.951412662942026,57.09435555555556,11.318856081728795
02_balanced_low_omega_k0p2_p30_it50_w0p4_a0p34_b0p33_g0p33,500,200,pso,45,580.3777777777777,59.67651010729314,50.69519777777778,4.516215553248545,107.94447555555556,37.38174753071438
02_balanced_low_omega_k0p2_p30_it50_w0p4_a0p34_b0p33_g0p33,500,300,de,45,534.4,42.13474057872391,53.342711111111115,3.372088827770368,244.70558222222223,112.38804731667275
02_balanced_low_omega_k0p2_p30_it50_w0p4_a0p34_b0p33_g0p33,500,300,ga,45,526.2666666666667,38.154828122937595,53.70723777777778,3.107938688210687,112.35837333333333,34.7652844528156
02_balanced_low_omega_k0p2_p30_it50_w0p4_a0p34_b0p33_g0p33,500,300,pso,45,529.7777777777778,38.50495180014275,53.39680444444445,3.0553196119789883,212.37537999999998,84.31013233064685
