space_m,node_count,optimizer,iteration,convergence_final_mean,convergence_final_std
100,20,de,50,0.9831409955555556,0.0453598206962613
100,20,ga,50,0.9831409955555556,0.0453598206962613
100,20,pso,50,0.9831409955555556,0.0453598206962613
100,50,de,50,0.8930228966666667,0.0706515315043605
100,50,ga,50,0.88800932,0.0845001406191788
100,50,pso,50,0.8872488822222223,0.0838985948658883
100,100,de,50,0.8270785277777777,0.0988076465827634
100,100,ga,50,0.8715435077777778,0.1005197795328212
100,100,pso,50,0.8446955922222222,0.092907676451997
100,150,de,50,0.881151048888889,0.0957396409975897
100,150,ga,50,0.9197529866666666,0.0659150618049875
100,150,pso,50,0.9169994811111112,0.0649045667685318
500,100,de,50,0.7120150055555556,0.340881022422242
500,100,ga,50,0.7307623233333334,0.3424439615174383
500,100,pso,50,0.7136630177777777,0.3407860628390708
500,200,de,50,0.7825648744444444,0.3175941777739471
500,200,ga,50,0.9340425422222224,0.0815659990455206
500,200,pso,50,0.8915466477777778,0.1299376366708848
500,300,de,50,0.7738365,0.3189288238542622
500,300,ga,50,0.9065106055555556,0.119043432976448
500,300,pso,50,0.7769640222222223,0.3195158366378143
