folder_name,space_m,node_count,optimizer,runs,ft5_mean,ft5_std,residual_energy_pct_mean,residual_energy_pct_std,runtime_sec_mean,runtime_sec_std,config_note
03_baseline_k0p1_p20_it50_w0p65_a0p6_b0p25_g0p15,500,100,ga,45,772.3555555555556,126.59566191683506,48.120488888888886,7.392357197324021,11.57793777777778,1.7661326956850316,baseline; R=200m; packet=6400 bit; E0=0.5J; K_CH=0.1; alpha/beta/gamma=0.6/0.25/0.15; candidate=0.4; particle=20; iter=50; inertia=0.7; c1=c2=1.5; omega=0.65
04_baseline_k0p15_p20_it50_w0p65_a0p6_b0p25_g0p15,500,100,leach,45,530.7333333333333,64.05409645547482,62.13274888888889,2.890895369134422,4.837433333333333,3.015237738704709,baseline; R=200m; packet=6400 bit; E0=0.5J; K_CH=0.15; alpha/beta/gamma=0.6/0.25/0.15; candidate=0.4; particle=20; iter=50; inertia=0.7; c1=c2=1.5; omega=0.65
04_baseline_k0p15_p20_it50_w0p65_a0p6_b0p25_g0p15,500,100,pso,45,769.9111111111112,120.47063433623038,46.92807777777778,5.819119743643244,19.764760000000003,5.616959744357019,baseline; R=200m; packet=6400 bit; E0=0.5J; K_CH=0.15; alpha/beta/gamma=0.6/0.25/0.15; candidate=0.4; particle=20; iter=50; inertia=0.7; c1=c2=1.5; omega=0.65
03_baseline_k0p1_p20_it50_w0p65_a0p6_b0p25_g0p15,500,200,de,45,728.3555555555556,82.96498592110345,45.39928444444444,4.830850474810806,54.48671777777778,25.76134714385178,baseline; R=200m; packet=6400 bit; E0=0.5J; K_CH=0.1; alpha/beta/gamma=0.6/0.25/0.15; candidate=0.4; particle=20; iter=50; inertia=0.7; c1=c2=1.5; omega=0.65
03_baseline_k0p1_p20_it50_w0p65_a0p6_b0p25_g0p15,500,200,ga,45,728.9777777777778,89.51929423539954,45.18002,5.161902533007833,22.189095555555557,2.6757574448399,baseline; R=200m; packet=6400 bit; E0=0.5J; K_CH=0.1; alpha/beta/gamma=0.6/0.25/0.15; candidate=0.4; particle=20; iter=50; inertia=0.7; c1=c2=1.5; omega=0.65
03_baseline_k0p1_p20_it50_w0p65_a0p6_b0p25_g0p15,500,200,leach,45,455.5111111111111,53.83291584414527,65.48306222222222,3.209873366681516,4.080726666666667,1.1879864474280537,baseline; R=200m; packet=6400 bit; E0=0.5J; K_CH=0.1; alpha/beta/gamma=0.6/0.25/0.15; candidate=0.4; particle=20; iter=50; inertia=0.7; c1=c2=1.5; omega=0.65
03_baseline_k0p1_p20_it50_w0p65_a0p6_b0p25_g0p15,500,200,pso,45,732.7333333333333,82.08847776526365,44.846197777777775,4.734578113752295,37.886577777777774,12.021993317172122,baseline; R=200m; packet=6400 bit; E0=0.5J; K_CH=0.1; alpha/beta/gamma=0.6/0.25/0.15; candidate=0.4; particle=20; iter=50; inertia=0.7; c1=c2=1.5; omega=0.65
03_baseline_k0p1_p20_it50_w0p65_a0p6_b0p25_g0p15,500,300,de,45,692.8222222222222,59.31743913773237,44.00623111111111,3.991998875866474,90.39527333333334,36.82107607400216,baseline; R=200m; packet=6400 bit; E0=0.5J; K_CH=0.1; alpha/beta/gamma=0.6/0.25/0.15; candidate=0.4; particle=20; iter=50; inertia=0.7; c1=c2=1.5; omega=0.65
03_baseline_k0p1_p20_it50_w0p65_a0p6_b0p25_g0p15,500,300,ga,45,689.0222222222222,58.72915060949829,44.20232222222222,3.855121114999259,41.27748444444444,7.750745031460337,baseline; R=200m; packet=6400 bit; E0=0.5J; K_CH=0.1; alpha/beta/gamma=0.6/0.25/0.15; candidate=0.4; particle=20; iter=50; inertia=0.7; c1=c2=1.5; omega=0.65
04_baseline_k0p15_p20_it50_w0p65_a0p6_b0p25_g0p15,500,300,leach,45,441.9111111111111,31.51898578073959,63.05027777777777,2.113788242586034,7.706822222222223,1.6089171315866868,baseline; R=200m; packet=6400 bit; E0=0.5J; K_CH=0.15; alpha/beta/gamma=0.6/0.25/0.15; candidate=0.4; particle=20; iter=50; inertia=0.7; c1=c2=1.5; omega=0.65
03_baseline_k0p1_p20_it50_w0p65_a0p6_b0p25_g0p15,500,300,pso,45,694.2444444444444,61.09499144609144,43.94819111111111,4.115994702919899,80.39646444444445,25.256157276207425,baseline; R=200m; packet=6400 bit; E0=0.5J; K_CH=0.1; alpha/beta/gamma=0.6/0.25/0.15; candidate=0.4; particle=20; iter=50; inertia=0.7; c1=c2=1.5; omega=0.65
